Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
138,32,8,96,8,Some Random Commen with Id 138
139,32,8,149,3,Some Random Commen with Id 139
140,32,8,119,1,Some Random Commen with Id 140
141,32,8,101,4,Some Random Commen with Id 141
142,33,2,24,3,Some Random Commen with Id 142
143,33,2,19,0,Some Random Commen with Id 143
144,33,2,107,9,Some Random Commen with Id 144
145,33,2,62,5,Some Random Commen with Id 145
146,33,2,19,2,Some Random Commen with Id 146
147,34,5,32,0,Some Random Commen with Id 147
148,34,5,32,7,Some Random Commen with Id 148
149,34,5,172,6,Some Random Commen with Id 149
150,35,6,25,3,Some Random Commen with Id 150
151,35,6,171,9,Some Random Commen with Id 151
152,36,1,20,4,Some Random Commen with Id 152
153,36,1,125,7,Some Random Commen with Id 153
154,37,9,23,4,Some Random Commen with Id 154
155,37,9,2,6,Some Random Commen with Id 155
156,37,9,22,7,Some Random Commen with Id 156
157,37,9,63,5,Some Random Commen with Id 157
158,37,9,174,3,Some Random Commen with Id 158
159,37,9,0,5,Some Random Commen with Id 159
160,37,9,25,9,Some Random Commen with Id 160
161,37,9,26,3,Some Random Commen with Id 161
162,38,8,181,1,Some Random Commen with Id 162
163,38,8,41,6,Some Random Commen with Id 163
164,38,8,18,1,Some Random Commen with Id 164
165,39,0,146,7,Some Random Commen with Id 165
166,39,0,183,1,Some Random Commen with Id 166
167,39,0,146,1,Some Random Commen with Id 167
168,39,0,2,6,Some Random Commen with Id 168
169,39,0,11,4,Some Random Commen with Id 169
